arm,iv,seed,start,end,window,mean,star
LR,l2,0,0,20,0-20,-0.11333643490380849,-0.0656059341335339
LR,l2,0,20,40,20-40,0.082578901561221,0.0484023585005127
LR,l2,0,40,60,40-60,0.054340992785221504,0.057052942698662
LR,l2,0,60,80,60-80,-0.1275721934700055,-0.0522696206631475
LR,l2,0,80,100,80-100,0.0035086470047960006,-0.0031874780932525
LR,l2,1,0,20,0-20,-0.3026489853645115,-0.16306072242634018
LR,l2,1,20,40,20-40,0.23852031246759992,0.11274526962487369
LR,l2,1,40,60,40-60,-0.05457174333652431,-0.013088984755219406
LR,l2,1,60,80,60-80,0.007164884322022502,0.051072588926299706
LR,l2,1,80,100,80-100,0.0776638484209887,0.025890589747753
LR,l2,2,0,20,0-20,-0.2065606441114416,-0.0860184657383444
LR,l2,2,20,40,20-40,0.04325712673053089,0.028622524551914705
LR,l2,2,40,60,40-60,0.0796898940933132,0.025882078971322497
LR,l2,2,60,80,60-80,0.05349251264343229,0.0326782624582429
LR,l2,2,80,100,80-100,-0.1291817999688171,-0.0405055039239259
LR,none,0,0,20,0-20,-1.710612919127556,-1.7578542292213741
LR,none,0,20,40,20-40,-0.8517589764165205,-0.854677255942377
LR,none,0,40,60,40-60,-0.7790887282016992,-0.5360283419813445
LR,none,0,60,80,60-80,-0.1089761463853316,-0.31453762108003724
LR,none,0,80,100,80-100,-0.44429429098574014,-0.379022102291914
LR,none,1,0,20,0-20,-2.0251377016456735,-1.838464118175354
LR,none,1,20,40,20-40,-0.47816617452384635,-0.7541099247218002
LR,none,1,40,60,40-60,-0.5568033473619383,-0.33988168583823475
LR,none,1,60,80,60-80,-0.32055567079674896,-0.29423357928263627
LR,none,1,80,100,80-100,-0.5087475926956069,-0.4694067656245222
LR,none,2,0,20,0-20,-1.8885780368648173,-1.7840623927739434
LR,none,2,20,40,20-40,-0.7190635578483655,-0.8408733801284947
LR,none,2,40,60,40-60,-0.7618766699308521,-0.6521322606240196
LR,none,2,60,80,60-80,-0.2386501032191899,-0.1619781825946256
LR,none,2,80,100,80-100,-0.1015107356409577,-0.3227146407257808
SNA,l2,0,0,20,0-20,-0.210797372514648,-0.1426809780099132
SNA,l2,0,20,40,20-40,0.025695298116771403,-0.008084817299977898
SNA,l2,0,40,60,40-60,-0.04848283577892237,0.02748409423423201
SNA,l2,0,60,80,60-80,-0.03670677045190801,-0.057377476219148016
SNA,l2,0,80,100,80-100,0.0617492874136594,0.014183184357835998
SNA,l2,1,0,20,0-20,-0.3307057981357907,-0.19062346577583208
SNA,l2,1,20,40,20-40,0.11811985116056173,0.0017569017681420829
SNA,l2,1,40,60,40-60,-0.025237807716983418,-0.0029105007855599885
SNA,l2,1,60,80,60-80,-0.03365977041986601,0.050578703498021904
SNA,l2,1,80,100,80-100,0.03634000573593982,-0.0388933340575269
SNA,l2,2,0,20,0-20,-0.2538715168110035,-0.15013239714305862
SNA,l2,2,20,40,20-40,0.006197743176864501,-0.016031979451561595
SNA,l2,2,40,60,40-60,-0.006903997102050308,-0.05183385925408571
SNA,l2,2,60,80,60-80,0.09918609220462302,0.04410091149212572
SNA,l2,2,80,100,80-100,-0.1269766595151766,-0.014668769134323023
SNA,none,0,0,20,0-20,-0.5846969570766144,-0.6816021157868878
SNA,none,0,20,40,20-40,-0.4102001903917767,-0.2775596935579361
SNA,none,0,40,60,40-60,0.023016896778949802,-0.03580453000232009
SNA,none,0,60,80,60-80,0.06839934344260079,-0.02054620069186064
SNA,none,0,80,100,80-100,-0.11156383206466458,0.14137229674652974
SNA,none,1,0,20,0-20,-0.8524852870886968,-0.818898406074013
SNA,none,1,20,40,20-40,-0.1452198910936885,-0.1819753598252173
SNA,none,1,40,60,40-60,-0.14410603968111246,-0.07674515280322014
SNA,none,1,60,80,60-80,-0.028224973471872028,-0.06850992007650802
SNA,none,1,80,100,80-100,-0.22513147315572302,-0.3341248944062509
SNA,none,2,0,20,0-20,-0.803388226297587,-0.7191287046170295
SNA,none,2,20,40,20-40,-0.15879898842388274,-0.35347233179721393
SNA,none,2,40,60,40-60,-0.22020444378238513,-0.1654447354487738
SNA,none,2,60,80,60-80,-0.08023792466076052,-0.08920410803581591
SNA,none,2,80,100,80-100,-0.2907180842987509,-0.10734804618706373
