arm,iv,receiver,step,n_per_boundary,pos,pos_equalunit,neg,neg_equalunit,l2,l2_equalunit,pre,pre_equalunit,actual,actual_equalunit,rounding,rounding_equalunit,fraction_down_at20
LR,l2,negative,1,31248.473684210527,-0.006046622185156589,-0.008980178746328407,0.0001600829696041312,0.0003149080882194126,4.288864880719083e-05,3.314972467679012e-05,6.539950842351251e-05,2.5181669229886173e-05,-0.005171406844761958,-0.00899392687280018,-2.9828841446878563e-10,-3.20038368952611e-10,0.6369497362504121
LR,l2,negative,2,31248.473684210527,-0.015804968959693234,-0.02252995084655031,0.0007415893399082866,0.0009375135068713134,0.00012448076279488406,9.636438271618955e-05,0.000120017150589168,4.708669195706053e-05,-0.013335498019628278,-0.021538097580248085,-6.733830661645034e-10,-8.392247835035105e-10,0.6369497362504121
LR,l2,negative,3,31248.473684210527,-0.027196115461711797,-0.03670035541267793,0.0020444432642221545,0.0021862385517928836,0.0002414896571303383,0.00018734953051223956,0.00016763729781684496,6.534758948547988e-05,-0.022786597414869512,-0.035461714040153046,-1.0205479486127167e-09,-1.2773587070571096e-09,0.6369497362504121
LR,l2,negative,4,31248.473684210527,-0.038997124024274334,-0.05038874844830086,0.0037006399732633422,0.003696642362423366,0.0003911102535224562,0.0003043528695596951,0.00020753970572740438,7.97070793855951e-05,-0.032843031051490106,-0.04793547505443724,-1.0157054214007922e-09,-1.5469793116369555e-09,0.6369497362504121
LR,l2,negative,5,31248.473684210527,-0.049010367935002054,-0.06550242199644284,0.005271056210438069,0.005168664473444511,0.0005705807382150664,0.0004456440878093118,0.00024242585916030152,9.079732882229245e-05,-0.042908274518894285,-0.060033231071058325,-6.815235808796745e-10,-1.43316014724245e-09,0.6369497362504121
LR,l2,negative,6,31248.473684210527,-0.058534134382689194,-0.07936046733489817,0.006294847125451773,0.006146112099944971,0.0007772995554357796,0.0006094627843104382,0.00027350811126204764,0.00010035511814772229,-0.051163200141677176,-0.07310928060774592,-5.728556620668108e-10,-1.1726437428493077e-09,0.6369497362504121
LR,l2,negative,7,31248.473684210527,-0.0668035734617017,-0.09096559486236462,0.007001438306561514,0.006376696625946904,0.0010090804164330307,0.0007943996362397723,0.00030022293110885083,0.00010799705079932966,-0.05845880571753028,-0.08624258808266569,-2.344967850527317e-10,-6.140880961974498e-10,0.6369497362504121
LR,l2,negative,8,31248.473684210527,-0.07392057388699991,-0.10231583724550275,0.007287391969410844,0.006653451976048555,0.0012653754114621094,0.0009993328694805547,0.00032303377988200817,0.00011448458177045486,-0.06475287227197529,-0.0975673405718536,5.614427492805903e-10,2.1808933480449098e-10,0.6369497362504121
LR,l2,negative,9,31248.473684210527,-0.08089993649519288,-0.11569295392940444,0.007028551065321027,0.0066263813460856105,0.0015476650701450466,0.0012229036727825337,0.00034261109752845123,0.00011868836829850401,-0.07103644459092963,-0.11098322958462309,1.0654153829701664e-09,1.2154640182816865e-09,0.6369497362504121
LR,l2,negative,10,31248.473684210527,-0.08879763641385806,-0.12802018830196538,0.006727047548953441,0.006510881323939702,0.0018522926852155026,0.001464431371301425,0.0003592174669233366,0.00012198969636400541,-0.07851841373869073,-0.12272109473768436,2.0292516461465004e-09,2.4735866178294993e-09,0.6369497362504121
LR,l2,negative,11,31248.473684210527,-0.0939198913230378,-0.13993388120048134,0.006096022567366709,0.006109243152123173,0.0021775428037629115,0.001723128141964698,0.0003740458318368457,0.0001243022489273533,-0.08514546409701826,-0.13209817812330216,3.1227610331772284e-09,3.735128818746968e-09,0.6369497362504121
LR,l2,negative,12,31248.473684210527,-0.09789826303183517,-0.14864902442147124,0.005094347846339316,0.005438891401692442,0.0025220243265805576,0.001998331796431886,0.0003867900123651292,0.0001258290193941741,-0.08976152792907198,-0.1412098108780496,4.015315490540301e-09,5.09468762112017e-09,0.6369497362504121
LR,l2,negative,13,31248.473684210527,-0.10054268674986282,-0.1552476158742877,0.0041594217790654345,0.004770767995658146,0.0028843007361481782,0.0022893226918682128,0.00039752831452491107,0.0001269891377087572,-0.09296152162636162,-0.14818723045223264,4.6628380234778506e-09,6.7277501127889655e-09,0.6369497362504121
LR,l2,negative,14,31248.473684210527,-0.10269645058188531,-0.16396962587897831,0.0036304181044092107,0.004430415339138857,0.0032628811403106125,0.002595318851682771,0.00040687824786412213,0.00012779785781872382,-0.09525081381664373,-0.15339714369239185,5.640098402333518e-09,8.335338397776476e-09,0.6369497362504121
LR,l2,negative,15,31248.473684210527,-0.10363596231474681,-0.1727216123106537,0.0033586008369302194,0.004288987697454394,0.0036563073055864564,0.002915542220356834,0.0004150252732646762,0.00012827394714496362,-0.09982287809572032,-0.16183524350910766,6.82345996809714e-09,1.0151111712170062e-08,0.6369497362504121
LR,l2,negative,16,31248.473684210527,-0.10529220856489753,-0.18073257623500733,0.002342624875340754,0.003917740431952973,0.0040631306962026085,0.003249005874469106,0.00042214464800248533,0.00012849475511391277,-0.10480228696708065,-0.17045000151535716,7.958798752269152e-09,1.1807054699314155e-08,0.6369497362504121
LR,l2,negative,17,31248.473684210527,-0.10648375370882976,-0.18677819721255837,0.0011677740303657948,0.0035206749463782797,0.004482191343841077,0.0035947426030999378,0.00042834929483761305,0.00012847059222468685,-0.10970982912401228,-0.17699092381282333,9.201655796983262e-09,1.362124752522036e-08,0.6369497362504121
LR,l2,negative,18,31248.473684210527,-0.10932013051941268,-0.19180495285542834,0.0001542837996466765,0.0029424573659999394,0.004912174495620888,0.003952303804921164,0.0004337126410770416,0.00012814613500814352,-0.11586872659897206,-0.18238778590640564,1.0358439551454067e-08,1.5183803565291014e-08,0.6369497362504121
