arm,seed,P1,P2,P3,late_loglog_slope,late_halves_ratio,late_nearbalance
A,0,PASS,FAIL,FAIL,0.32361783864527444,1.0382179362137125,0.966050839664695
A,1,PASS,FAIL,FAIL,0.7141238703978661,1.095958282081933,0.9441109742180315
A,2,PASS,FAIL,FAIL,0.45861043863325285,1.0543234418044816,0.950359894858197
A,3,PASS,FAIL,FAIL,0.387017425826619,1.0471097229887323,0.9655802234402115
A,4,PASS,FAIL,FAIL,0.6233969729149703,1.0840077946937892,0.9461030404337433
A,5,PASS,FAIL,FAIL,0.7011574527745961,1.0916541454510724,0.9418758473912879
A,6,PASS,FAIL,FAIL,0.4511404768671654,1.0713329578052366,0.9765623626905884
A,7,PASS,FAIL,FAIL,0.542073099475737,1.0770255254441812,0.9505033348101596
A,8,PASS,FAIL,FAIL,0.49748094073555765,1.051316888367384,0.9482340671928526
A,9,PASS,FAIL,FAIL,0.6877803374755889,1.0874904704217512,0.9458068756710026
F,0,PASS,FAIL,FAIL,0.5670313155929659,1.0483184009755544,0.9535705722759669
F,1,PASS,FAIL,FAIL,0.9087512639954458,1.1341266760938487,0.9558576848284417
F,2,PASS,FAIL,FAIL,0.4507893519746334,1.0442642530352373,0.9549337598827673
F,3,PASS,FAIL,FAIL,0.6860957638716255,1.0893787452655566,0.9590860713283492
F,4,PASS,FAIL,FAIL,0.33550239799782783,1.018970294535621,0.9609847780824793
F,5,PASS,FAIL,FAIL,0.7541517104563743,1.087175905335814,0.9494507351516698
F,6,PASS,FAIL,FAIL,0.5652631765276255,1.0654161628304675,0.9718971381240068
F,7,PASS,FAIL,FAIL,0.5213637892533547,1.0564614532541112,0.9639930289498194
F,8,PASS,FAIL,FAIL,0.8996107815994208,1.1064151168648444,0.9330402179846962
F,9,PASS,FAIL,FAIL,0.3898462516924778,1.0421456086468153,0.9763618591905352
SA_iid,0,PASS,FAIL,FAIL,0.2859883556467957,1.0307385434118006,0.9526246288756772
SA_iid,1,PASS,FAIL,FAIL,0.6079686854627729,1.0787396686216881,0.9555048633107568
SA_iid,2,PASS,PASS,FAIL,-0.05276546640989401,0.9977291733908057,1.0156888141266347
SA_iid,3,PASS,FAIL,FAIL,0.4175341929961548,1.043258319083872,0.9681872520233622
SA_iid,4,PASS,FAIL,FAIL,0.5891495215258673,1.0823492104626002,0.9540318882780586
SA_iid,5,PASS,PASS,FAIL,-0.19857374354379267,0.9571684029581501,1.017991508271921
SA_iid,6,PASS,FAIL,FAIL,0.46202583241739503,1.0397868415743652,0.9420890304377522
SA_iid,7,PASS,FAIL,FAIL,0.21933840468181387,1.0330188303435275,0.9751686736923492
SA_iid,8,PASS,FAIL,FAIL,0.42068476927415155,1.057635913498028,0.9803152534738787
SA_iid,9,PASS,FAIL,FAIL,0.6610496099040103,1.1006333785729419,0.9614621798378479
S_hi,0,PASS,FAIL,PASS,0.8785558450027655,1.116431545130913,0.9636624635687179
S_hi,1,PASS,FAIL,PASS,0.31527712984145034,1.040253357557132,0.9780952838299294
S_hi,2,PASS,FAIL,FAIL,0.3618088833344057,1.0294060860266292,0.9849717683812266
S_hi,3,PASS,FAIL,FAIL,0.6095149619361959,1.028148891776483,0.945137066749352
S_hi,4,PASS,FAIL,FAIL,0.5161252998052597,1.0884388429633707,0.9848555817936002
S_hi,5,PASS,FAIL,FAIL,0.4040028748743837,1.0287954019086796,0.9690789835765825
S_hi,6,PASS,FAIL,PASS,0.40523285192464414,1.0357039790398597,0.9871060506839424
S_hi,7,PASS,FAIL,PASS,0.39096743074809887,1.038842200033386,0.9780484876236725
S_hi,8,PASS,FAIL,PASS,0.7655175291554432,1.0551586504210715,0.957040833635976
S_hi,9,PASS,PASS,FAIL,-0.14067482395146536,0.9806675509279917,0.9996675617084703
