geometry,optimizer,question,verdict,n_seed,n_pass,n_diverged,n_uninformative,statistic,seed_median,ci95_low,ci95_high,criterion,adam_n_pass,sgd_n_pass
avg16,adam,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,0.9653984733933462,0.9415206432048415,0.9898012438238526,,,
avg16,adam,P2,FAIL,5,1.0,0.0,0.0,late_loglog_slope,0.4631956685724397,0.14353450268871967,0.4981791688227828,,,
avg16,adam,P3,FAIL,5,0.0,0.0,0.0,heldout_mape,0.21900412679506723,0.2039134275701893,0.22355611097249667,,,
avg16,adam,P4,NOT_ESTABLISHED,5,1.0,0.0,0.0,raw_minus_effective_slope,0.3821401837871338,0.31523059702986034,0.6421656670428224,,,
avg16,sgd,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,0.9640784395189597,0.9239106797289586,1.0150429432442933,,,
avg16,sgd,P2,PASS,5,4.0,0.0,0.0,late_loglog_slope,0.1139022453008917,-0.09068738607286986,0.24137784787205088,,,
avg16,sgd,P3,FAIL,5,0.0,0.0,0.0,heldout_mape,0.10071587218662444,0.06590173475469169,0.12971940123035874,,,
avg16,sgd,P4,NOT_ESTABLISHED,5,3.0,0.0,0.0,raw_minus_effective_slope,0.2173927119825823,0.09178917299183706,0.49400450060452944,,,
dup64,adam,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,0.9679441103828806,0.9641806538050458,0.9808036184686176,,,
dup64,adam,P2,FAIL,5,0.0,0.0,0.0,late_loglog_slope,0.33486975717410405,0.2725168441307006,0.5466877741106703,,,
dup64,adam,P3,FAIL,5,0.0,0.0,0.0,heldout_mape,0.22494588050918893,0.2208451660350387,0.24650963368291323,,,
dup64,adam,P4,NOT_ESTABLISHED,5,0.0,0.0,0.0,raw_minus_effective_slope,0.45654151264543985,0.24372496315359637,0.4989444810795551,,,
dup64,sgd,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,0.9676920527838069,0.9527247094471825,0.9953777098280078,,,
dup64,sgd,P2,FAIL,5,1.0,0.0,0.0,late_loglog_slope,0.23540250553063588,0.16290427702683638,0.43823466945642253,,,
dup64,sgd,P3,FAIL,5,0.0,0.0,0.0,heldout_mape,0.11720472716324723,0.08151639329490518,0.1245484421650107,,,
dup64,sgd,P4,NOT_ESTABLISHED,5,1.0,0.0,0.0,raw_minus_effective_slope,0.4163238219065378,0.2753339039764158,0.5401666173991646,,,
dup64_half,adam,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,0.9599878122964529,0.9367118076401085,0.9846160810472107,,,
dup64_half,adam,P2,FAIL,5,0.0,0.0,0.0,late_loglog_slope,0.43473906192168965,0.27986294470154327,0.7020751084619085,,,
dup64_half,adam,P3,FAIL,5,0.0,0.0,0.0,heldout_mape,0.23031781375909433,0.2222117022795391,0.24861106534981445,,,
dup64_half,adam,P4,NOT_ESTABLISHED,5,0.0,0.0,0.0,raw_minus_effective_slope,0.40120789493378584,0.10790408286843622,0.5424353352437555,,,
dup64_half,sgd,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,0.9521323907870927,0.9415156706727995,1.0423444343895665,,,
dup64_half,sgd,P2,FAIL,5,3.0,0.0,0.0,late_loglog_slope,0.19486547114755703,-0.17682909316688036,0.4063252788820123,,,
dup64_half,sgd,P3,FAIL,5,2.0,0.0,2.0,heldout_mape,0.03610659071927338,0.026158198369371503,0.06599507045818996,,,
dup64_half,sgd,P4,NOT_ESTABLISHED,5,3.0,0.0,0.0,raw_minus_effective_slope,0.38206753091215384,0.1650243672754984,0.750153663384105,,,
gray32,adam,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,0.967433257802946,0.9599645081481343,0.9752133139785235,,,
gray32,adam,P2,FAIL,5,0.0,0.0,0.0,late_loglog_slope,0.49043496172775525,0.20547496887648292,0.623176724019118,,,
gray32,adam,P3,FAIL,5,0.0,0.0,0.0,heldout_mape,0.1879107698536964,0.1779563478061485,0.1931314258117751,,,
gray32,adam,P4,NOT_ESTABLISHED,5,0.0,0.0,0.0,raw_minus_effective_slope,0.3536622527698754,0.23746901142295973,0.6706446196542963,,,
gray32,sgd,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,1.0147079137947583,0.9519276728668122,1.0515830513248603,,,
gray32,sgd,P2,FAIL,5,3.0,0.0,0.0,late_loglog_slope,0.021187681630706612,-0.3625893442985746,0.2988812168190126,,,
gray32,sgd,P3,FAIL,5,0.0,0.0,1.0,heldout_mape,0.07448728987550732,0.030062745597990576,0.08070433411773177,,,
gray32,sgd,P4,NOT_ESTABLISHED,5,3.0,0.0,0.0,raw_minus_effective_slope,0.37334782614849243,0.07178239444857709,0.741308583724525,,,
rgb32,adam,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,0.9609602251977091,0.952074897975799,0.9750727111438603,,,
rgb32,adam,P2,FAIL,5,0.0,0.0,0.0,late_loglog_slope,0.47090135379484255,0.2850170518047026,0.6183781215513372,,,
rgb32,adam,P3,FAIL,5,0.0,0.0,0.0,heldout_mape,0.23070529011447852,0.2059571494487777,0.2352738947349405,,,
rgb32,adam,P4,NOT_ESTABLISHED,5,0.0,0.0,0.0,raw_minus_effective_slope,0.4033013282923468,0.2551871289577965,0.5671520315643019,,,
rgb32,sgd,P1,PASS,5,5.0,0.0,0.0,late_nearbalance,0.9659340832792873,0.9564307327123643,1.011591335296741,,,
rgb32,sgd,P2,PASS,5,4.0,0.0,0.0,late_loglog_slope,0.08601246344544825,-0.1894932110231485,0.32170588393641725,,,
rgb32,sgd,P3,UNINFORMATIVE,5,0.0,0.0,4.0,heldout_mape,0.04563154098103257,0.01625143267177332,0.0537151397777251,,,
rgb32,sgd,P4,SEPARATED,5,4.0,0.0,0.0,raw_minus_effective_slope,0.5022095205708509,0.29490636044382407,0.7825717762954137,,,
,,E1,PASS,5,5.0,,,,,,,"late halfdup/SGD R and d_eff ratios both in [0.8,1.2]",,
,,E2,PASS,5,5.0,,,,,,,early halfdup/Adam d_eff ratio >1.2,,
,,E3,PASS,5,5.0,,,,,,,"early rawdup d_eff ratio >1, independently in 4/5 seeds per optimizer",5.0,5.0
,,E4,REPORT_ONLY,5,,,,,,,,gray32/avg16 direction unspecified; rank and performance reported,,
dup64,adam,E5_component,PASS,5,5.0,,,,,,,late |c_geometry-c_rgb32| <=0.05,,
dup64_half,adam,E5_component,PASS,5,5.0,,,,,,,late |c_geometry-c_rgb32| <=0.05,,
gray32,adam,E5_component,PASS,5,5.0,,,,,,,late |c_geometry-c_rgb32| <=0.05,,
avg16,adam,E5_component,PASS,5,5.0,,,,,,,late |c_geometry-c_rgb32| <=0.05,,
dup64,sgd,E5_component,PASS,5,5.0,,,,,,,late |c_geometry-c_rgb32| <=0.05,,
dup64_half,sgd,E5_component,PASS,5,5.0,,,,,,,late |c_geometry-c_rgb32| <=0.05,,
gray32,sgd,E5_component,PASS,5,4.0,,,,,,,late |c_geometry-c_rgb32| <=0.05,,
avg16,sgd,E5_component,FAIL,5,1.0,,,,,,,late |c_geometry-c_rgb32| <=0.05,,
,,E5,FAIL,5,0.0,,,,,,,all four late c geometry comparisons pass in each optimizer,,
