arm,task,updates,seed,n_units,N,D,c,cND,I_self,I_rest,I_round,K,Q,G,R_self,R_rest,R_round,mean_boundary_jump,mean_parameter_move,variance_initial,variance_after_boundary,variance_current,undefined_c_count
SN_normal_q0,21,1,0,100,0.9130180870531663,0.0023256211559260164,0.06684155278469796,0.0001788082521585214,0.0001052727350790797,7.353639157690051e-05,-8.74497458772723e-10,0.0,1.6388814819531224e-05,-0.00034122768949750915,-0.0002105454701581594,-0.00014707278315380102,1.748994917545446e-09,0.015445446128025682,-0.007062175727543681,0.27927560653661027,0.2792756065366102,0.2791902996142359,0
SN_normal_q0,21,1,1,100,0.9306433182810754,0.0005721309144310953,-0.06516850372014994,6.276362185606807e-05,0.0008787598956048849,-0.0008159961376683382,-1.3608047854260072e-10,0.0,1.1481235586965323e-06,-0.00012437912015344013,-0.0017575197912097697,0.0016319922753366765,2.7216095708520144e-10,0.005382776095834666,-0.00134627317465206,0.30252383744713907,0.302523837447139,0.3024927426671007,0
SN_normal_q0,21,1,2,100,0.8699035358152476,0.0017456346046858724,-0.03013727365196636,-0.0003472342218270098,0.00139988588499608,-0.001747117807962677,-2.29886041245641e-09,0.0,1.2003802955003807e-05,0.0007064722466090252,-0.00279977176999216,0.003494235615925354,4.59772082491282e-09,0.050530099976290314,-0.0020700088172094845,0.2483579702618606,0.24835797026186057,0.24853458832351283,0
SN_normal_q0,21,1,3,100,0.9323614790039261,0.004590973890448975,-0.00069514596367093,-0.0003824591281932357,0.0005602758325829883,-0.0009427345391591286,-4.2161709561762746e-10,0.0,7.948388913536445e-05,0.0008444021455218357,-0.0011205516651659766,0.0018854690783182571,8.432341912352549e-10,-0.0486998379625535,0.005076328231531405,0.3047629983949403,0.3047629983949403,0.3049740989313207,0
SN_normal_q0,21,1,4,100,0.9243671631690518,0.003506571522893824,-0.11617153211650966,0.00032312159485904136,0.0015161492449086897,-0.001193030576217927,2.9261682787835464e-09,0.0,6.526487617336255e-05,-0.0005809783135447261,-0.0030322984898173795,0.002386061152435854,-5.852336557567093e-09,0.018119354119863793,0.0028225431250339843,0.29362485841586,0.29362485841586,0.29347961383747384,0
SN_normal_q0,21,1,5,100,0.93707920879294,0.0039042881002407733,-0.022609026074911137,-0.00030343845301584007,0.00013718919420806854,-0.0004406297868701892,2.1396462806902795e-09,0.0,4.872331742454453e-05,0.0006556002234562345,-0.00027437838841613707,0.0008812595737403784,-4.279292561380559e-09,0.02508866542752365,-0.00880795965744503,0.303023212941012,0.3030232129410119,0.303187112996876,0
SN_normal_q0,21,1,6,100,0.9451459359398154,1.0746952759576683e-06,-0.043248603250140676,1.4784852060995978e-08,1.349510953136465e-07,-1.2074711048519417e-07,5.808672325436994e-10,0.0,4.26976021813269e-12,-2.9565434367245792e-08,-2.69902190627293e-07,2.4149422097038835e-07,-1.1617344650873989e-09,-0.02548147484366552,0.014649984859825644,0.29861268775774724,0.29861268775774713,0.2986126803663886,8
SN_normal_q0,21,1,7,100,0.9104391829703492,0.0010751501571683974,-0.11769041253464656,-0.00010275600573200022,8.788349480089623e-05,-0.0001906417936726109,2.2931397144490752e-09,0.0,3.900935855012233e-06,0.0002094129473190097,-0.00017576698960179246,0.0003812835873452218,-4.5862794288981505e-09,0.023052123590725372,-0.00027599642097676916,0.2792011474789907,0.2792011474789907,0.2792535007158205,0
SN_normal_q0,21,1,8,100,0.918540284346648,0.002811242715900006,0.004395297201589729,-0.00043224789084277723,2.201342250428501e-05,-0.0004542615180153463,2.04668284003144e-10,0.0,2.9686299713069477e-05,0.0008941820813986193,-4.402684500857002e-05,0.0009085230360306926,-4.09336568006288e-10,-0.038110008455165344,-0.004744539133395637,0.2914888246509851,0.2914888246509851,0.2917123701713347,0
SN_normal_q0,21,1,9,100,0.9263372360783779,0.0019941280386439088,0.007871723256643617,-3.9459691169876476e-05,0.001239465996372377,-0.0012789235996438486,-2.087898405543643e-09,0.0,1.4359644842902541e-05,9.327902718265792e-05,-0.002478931992744754,0.0025578471992876973,4.175796811087286e-09,0.0008355026653087332,-0.0021102821756866495,0.28935605399359365,0.2893560539935936,0.2893793737503893,0
SN_normal_q0,21,20,0,100,0.9130180870531663,0.012491537802212856,-0.01335665879361107,0.0003485313990325933,0.010100907510192925,-0.009770658838711498,1.5799797680959348e-09,1.8281147571396295e-05,0.00041856802200058914,-0.00024193248092180126,-0.02020181502038585,0.019541317677422995,-3.1599595361918697e-09,0.015445446128025682,-0.031079585384058087,0.27927560653661027,0.2792756065366102,0.2792151234163798,0
SN_normal_q0,21,20,1,100,0.9306433182810754,0.025831764199749623,-0.014001731538522617,-0.0029935677554328434,0.044550275226058506,-0.04622865840467702,-2.2596369997553916e-08,-0.0013151619804443184,0.004695284564391155,0.008052096114368206,-0.08910055045211701,0.09245731680935404,4.519273999510783e-08,0.005382776095834666,-0.00040110061418725194,0.30252383744713907,0.302523837447139,0.3045368614757311,0
SN_normal_q0,21,20,2,100,0.8699035358152476,0.012977504764544316,0.06486427234190191,0.0051085961573900706,0.017550298837366248,-0.01237660384518087,-6.124023736634517e-09,-6.509271077156954e-05,0.000734602410759742,-0.00961277532556354,-0.035100597674732496,0.02475320769036174,1.2248047473269033e-08,0.050530099976290314,-0.005936974441895544,0.2483579702618606,0.24835797026186057,0.24595477643046965,0
SN_normal_q0,21,20,3,100,0.9323614790039261,0.013789976019481303,0.013847951423033158,0.00017704431483079165,0.02406452459594875,-0.02373153613688458,7.921631703030905e-09,-0.00015595206586509083,0.0008829485712281271,0.00021695580983636635,-0.0481290491918975,0.04746307227376916,-1.584326340606181e-08,-0.0486998379625535,0.0009655864051514613,0.3047629983949403,0.3047629983949403,0.30481723734739946,0
SN_normal_q0,21,20,4,100,0.9243671631690518,0.01965961205765949,0.01781261624596682,0.002121850094293232,0.012894982158554858,-0.010665235345912873,-2.4384394662478495e-08,-0.00010787233395408615,0.0018301273309074412,-0.0026293175255872026,-0.025789964317109716,0.021330470691825747,4.876878932495699e-08,0.018119354119863793,0.010204866509004063,0.29362485841586,0.29362485841586,0.2929675290344632,0
SN_normal_q0,21,20,5,100,0.93707920879294,0.011654393296031318,0.013307737162107426,0.0013599975039617913,0.010809781972730319,-0.009402788747047473,-1.8486076202521126e-08,-4.697723564485257e-05,0.0004947914417512719,-0.0023191580374620053,-0.021619563945460638,0.018805577494094946,3.697215240504225e-08,0.02508866542752365,0.0012983020130477479,0.303023212941012,0.3030232129410119,0.3024434234316465,0
SN_normal_q0,21,20,6,100,0.9451459359398154,0.0126100689802909,0.06063465050050907,0.0035762243675012293,0.006689188996431581,-0.0027962138888945193,-8.662192074996808e-09,-0.0003167420778437585,0.0010920811419460456,-0.006693851748743934,-0.013378377992863162,0.0055924277777890385,1.7324384149993617e-08,-0.02548147484366552,-0.00983576272866893,0.29861268775774724,0.29861268775774713,0.2969392248205612,0
SN_normal_q0,21,20,7,100,0.9104391829703492,0.009491370820543098,0.09464031375564928,0.0009748630783404244,0.004056125734949276,-0.0030774692483582426,1.558749234778357e-08,-3.8089957429574842e-06,0.00022090610775244446,-0.0017364380404143284,-0.008112251469898552,0.006154938496716485,-3.117498469556714e-08,0.023052123590725372,-0.0030417791722421434,0.2792011474789907,0.2792011474789907,0.27876703796888713,0
SN_normal_q0,21,20,8,100,0.918540284346648,0.010984655414163087,0.13465308382994864,0.0016414299119857745,0.011455430524590367,-0.009459295366197334,1.7099425466732144e-08,-0.0003547223458327256,0.0010093450588065573,-0.0029829594568304444,-0.022910861049180734,0.018918590732394668,-3.419885093346429e-08,-0.038110008455165344,-0.013198302739185574,0.2914888246509851,0.2914888246509851,0.2907430847867775,0
SN_normal_q0,21,20,9,100,0.9263372360783779,0.013318663933794946,0.13058161136525365,-0.00028384942402743266,0.008643752275515714,-0.008791555297998535,1.3983601788289555e-09,-0.00013604779990479107,0.0007778149801416106,0.0010734182283868915,-0.017287504551031427,0.01758311059599707,-2.796720357657911e-09,0.0008355026653087332,-0.016662890506656848,0.28935605399359365,0.2893560539935936,0.2896244085506903,0
SN_normal_q0,21,200,0,100,0.9130180870531663,0.029883592005170417,0.14505548447625632,0.0014296933310021878,0.10962171519461114,-0.10718277206658852,-2.355508978358402e-08,-0.001009226241930691,0.004126479628403728,-0.0007513595174620247,-0.21924343038922228,0.21436554413317704,4.711017956716804e-08,0.015445446128025682,0.006118628798385273,0.27927560653661027,0.2792756065366102,0.2790877666572447,0
SN_normal_q0,21,200,1,100,0.9306433182810754,0.03707553444925681,0.09280687058062428,-0.00029864001050607434,0.3776477365064482,-0.37506584537391485,-7.998956577756443e-08,-0.0028804511534735156,0.00980839588389622,0.0046447735979613415,-0.7552954730128963,0.7501316907478297,1.5997913155512885e-07,0.005382776095834666,-0.0218754670367224,0.30252383744713907,0.302523837447139,0.3036850308466294,0
SN_normal_q0,21,200,2,100,0.8699035358152476,0.026959979560077212,0.20333178007924144,0.011180255483409538,0.07847795667723922,-0.06697884801088161,3.184560607481507e-08,-0.0003188850285541333,0.0025649014363883183,-0.020433379587539026,-0.15695591335447845,0.13395769602176322,-6.369121214963014e-08,0.050530099976290314,-0.04018307719759484,0.2483579702618606,0.24835797026186057,0.2432496253649758,0
SN_normal_q0,21,200,3,100,0.9323614790039261,0.018239874175508784,0.16754922666981004,0.004133138915505403,0.27779948304222807,-0.27327492768824563,5.586403272680789e-08,-0.0003914723025098023,0.0016405391345701075,-0.007408683301460305,-0.5555989660844561,0.5465498553764913,-1.1172806545361578e-07,-0.0486998379625535,-0.014998315856170499,0.3047629983949403,0.3047629983949403,0.30291082756957527,0
SN_normal_q0,21,200,4,100,0.9243671631690518,0.030007418125972025,0.1761293210765051,0.005334093628379316,0.11939439032669182,-0.11353837867753726,-5.437787748277372e-08,-0.0005218636428977611,0.004064652827857546,-0.007647261714696612,-0.23878878065338363,0.22707675735507452,1.0875575496554743e-07,0.018119354119863793,0.02446922867248171,0.29362485841586,0.29362485841586,0.29171304298718587,0
SN_normal_q0,21,200,5,100,0.93707920879294,0.03177155020002174,0.1169489862115233,0.004783987360957217,0.08096737886791792,-0.07587116574466338,-3.7511071649792005e-08,-0.0003121882512256711,0.0034313812620689983,-0.006760969962296783,-0.16193475773583585,0.15174233148932675,7.502214329958401e-08,0.02508866542752365,-0.0090934989380479,0.303023212941012,0.3030232129410119,0.3013329704504378,0
SN_normal_q0,21,200,6,100,0.9451459359398154,0.027241209396104683,0.16919995703617996,0.008193663845965433,0.06342812384400962,-0.054625854232937116,2.5213354494668134e-08,-0.0006086309784615762,0.00294170802337432,-0.014662881625479698,-0.12685624768801923,0.10925170846587423,-5.042670898933627e-08,-0.02548147484366552,-0.029738961861268877,0.29861268775774724,0.29861268775774713,0.29494696735137726,0
SN_normal_q0,21,200,7,100,0.9104391829703492,0.021656740692236828,0.18215241841928298,0.006648665479328765,0.046840987976912246,-0.040239061723136876,5.646053175998252e-08,4.668276502162899e-05,0.001077654444692571,-0.0121263109839217,-0.09368197595382449,0.08047812344627375,-1.1292106351996504e-07,0.023052123590725372,0.0034884106334065984,0.2792011474789907,0.2792011474789907,0.2761695697330103,0
